timestamp,open,high,low,close,volume
2020-12-01,123.9000,125.8300,123.0800,123.1600,5099334
2020-11-30,124.1000,125.0000,123.0900,123.5200,5987991
2020-11-27,124.2000,125.3130,123.9100,124.3500,2091186
2020-11-25,122.9300,124.3300,122.1100,124.2000,4135894
2020-11-24,120.8600,124.7300,120.8050,124.4200,7535949
2020-11-23,117.4300,120.5150,117.2700,120.0900,5655119
2020-11-20,117.6000,118.0400,116.6900,116.9400,5024593
2020-11-19,116.5400,117.4500,115.8900,117.1800,3439648
2020-11-18,117.7200,118.8800,116.7500,116.7700,4606828
2020-11-17,117.6000,118.5400,117.0700,117.7000,4134455
2020-11-16,118.3000,118.5500,117.1200,118.3600,5293385
2020-11-13,115.1900,117.3700,115.0100,116.8500,4683512
2020-11-12,115.6300,116.3700,113.4800,114.5000,6500799
2020-11-11,118.1200,118.3500,116.2200,117.2000,4289601
2020-11-10,116.6900,118.1700,116.2500,117.9100,5622756
2020-11-09,117.8800,119.7400,115.2700,115.5300,8992152
2020-11-06,115.0800,115.1000,113.3900,114.0400,5249171
2020-11-05,113.3000,115.2900,113.0100,114.7700,4902206
2020-11-04,112.3300,113.9100,111.1600,111.9000,5800071
2020-11-03,114.0000,115.6500,113.6300,114.1600,4204287
2020-11-02,112.6500,113.8265,112.2500,112.9100,5311497
2020-10-30,107.9000,111.8000,107.7500,111.6600,7923882
2020-10-29,107.2500,109.6400,106.5500,108.9100,6760241
2020-10-28,108.6600,109.7300,105.9200,106.6500,9427321
2020-10-27,112.1500,112.2200,110.0300,110.5600,5936106
2020-10-26,114.4500,114.9000,111.8400,112.2200,7203366
2020-10-23,116.5000,116.6200,115.5300,116.0000,3893362
2020-10-22,115.0000,116.0600,112.9800,115.7600,7858158
2020-10-21,116.6600,117.6899,114.7900,115.0600,9755308
2020-10-20,119.8000,120.1500,116.8400,117.3700,21501073
2020-10-19,126.8000,127.3500,125.0800,125.5200,7478735
2020-10-16,125.1700,126.4300,124.6550,125.9300,4714320
2020-10-15,124.0800,125.2150,123.8500,124.8900,3389301
2020-10-14,125.1300,126.9400,125.1300,125.9400,3730139
2020-10-13,126.5700,127.1500,124.4600,125.1000,5406088
2020-10-12,128.0700,128.2500,126.4400,127.2100,4635115
